Барий хлористый (2-водн.), ч;No-image.jpg;1;45;318;1;имп;Цена за 1 кг. Фасовка 100 грамм.;0;0;1;
Бензалконий хлористый (tetranyl BC 50);No-image.jpg;1;46;90;1;имп;Фасовка 1 кг. НЕ ФАСУЕТСЯ;0;0;1;
Бензидин основание, чда;No-image.jpg;1;47;25206/25217,4;1;Укр;1 кг/ 100 грамм.;0;0;1;
Бензидин солянокислый, чда;No-image.jpg;1;48;24306/24317,4;1;Укр;1 кг/ 100 грамм;0;0;1;
Бензойная кислота, ч;No-image.jpg;1;49;90/99/120;1;Укр;25 кг/ 1 кг/ 100 грамм;0;0;1;
Бипиридил-2,2, ч;No-image.jpg;1;50;6186/6197,4;1;Укр;1 кг/ 100 грамм;0;0;1;
Борная кислота, чда;No-image.jpg;1;51;120/168;1;имп;1 кг/ 100 грамм;0;0;1;
Борная кислота, ч ;No-image.jpg;1;52;30,9/57/78;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Бриллиантовый зеленый, чда;No-image.jpg;1;53;570/660/720;1;имп;25 кг/ 1 кг/ 100 грамм.;0;0;1;
Бромоформ, ч;No-image.jpg;1;54;297;1;имп;Цена за кг;0;0;1;
Бромкрезоловый зеленый (спирторастворимый), чда;No-image.jpg;1;55;10200/10500;1;имп;1 кг/ 100 грамм;0;0;1;
Бромкрезоловый пурпуровый (водорастворимый), чда;No-image.jpg;1;56;1206/1217,4;1;имп;1 кг/ 100 грамм;0;0;1;
Бромкрезоловый пурпуровый (спирторастворимый), чда;No-image.jpg;1;57;2100/2400;1;Укр;"1 кг/ 100 грамм. 80 фас по 0,05 кг; 24 фас по 0,025 кг";0;0;1
Бромтимоловый синий (водорастворимый), чда;No-image.jpg;1;58;6300/6900;1;имп;1 кг/ 100 грамм;0;0;1;
Бромтимоловый синий (спирторастворимый), чда;No-image.jpg;1;59;4206/4217,4;1;имп;1 кг/ 100 грамм;0;0;1;
Бромфеноловый красный (спирторастворимый), чда;No-image.jpg;1;60;1206/1217,4;1;имп;1 кг/ 100 грамм;0;0;1;
Бромфеноловый синий (водорастворимый), чда;No-image.jpg;1;61;3690/5100;1;имп;1 кг/ 100 грамм;0;0;1;
Бромфеноловый синий (спирторастворимый), чда;No-image.jpg;1;62;2100/2400;1;имп;1 кг/ 100 грамм;0;0;1;
Бутилгидрокситолуол (агидол-1, ионол, дибунол) ;No-image.jpg;1;63;162/176,4/204;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Вазелин белый, фарм (импортный);No-image.jpg;1;64;117;1;имп;Цена за кг. По 1 кг;0;0;1;
Винная кислота (L), пищ;No-image.jpg;1;65;156/210;1;имп;1 кг/ 100 грамм;0;0;1;
Винная кислота (D,L), пищ;No-image.jpg;1;66;90/120;1;имп;1 кг/ 100 грамм;0;0;1;
Винноградная кислота 1-водная, ч;No-image.jpg;1;67;69/78/99;1;Укр;20 кг/ 1 кг/ 0,1 кг;0;0;1;
Висмут (III) азотнокислый 5-водный, ч;No-image.jpg;1;68;567/690;1;имп;1 кг/ 100 грамм;0;0;1;
Висмут (III) лимоннокислый, фарм;No-image.jpg;1;69;876/887,4;1;имп;1 кг/ 100 грамм;0;0;1;
Висмут металлический, ч;No-image.jpg;1;70;606/617,4;1;имп;1 кг/ 100 грамм;0;0;1;
Галловая кислота, фарм;No-image.jpg;1;71;1440/1800;1;имп;1 кг/ 100 грамм;0;0;1;
Гидразин сернокислый, чда;No-image.jpg;1;72;882/1158;1;имп;1 кг/ 100 грамм;0;0;1;
Гидразин сернокислый, ч;No-image.jpg;1;73;870/990;1;имп;1 кг/ 100 грамм. 30 бан по 200 грамм;0;0;1;
Гидразин солянокислый (гидрохлорид), чда;No-image.jpg;1;74;1209/1320;1;Укр;1 кг/ 100 грамм;0;0;1;
Гидроксиламин сернокислый, чда;No-image.jpg;1;75;198/210/270;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Гидроксиламин солянокислый (гидрохлорид), чда;No-image.jpg;1;76;198/240/270;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Гидрохинон высший сорт;No-image.jpg;1;77;270/300/330;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Глутаминовая кислота (L), ч;No-image.jpg;1;78;147/168/180;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Глюкоза моногидрат, пищ;No-image.jpg;1;79;24,72/45/78;1;имп;25 кг/ 1 кг/ 100 грамм;0;0;1;
Диметиламино-п-бензальдегид (реактив Эрлиха), чда;No-image.jpg;1;80;786/797,4;1;имп;1 кг/ 100 грамм;0;0;1;
Диметил(N,N-)-п-фенилендиамин дигидрохлорид, чда;No-image.jpg;1;81;12006/12017,4;1;имп;1 кг/ 100 грамм;0;0;1;
Диметилглиоксим, чда;No-image.jpg;1;82;858/888;1;имп;1 кг/ 100 грамм;0;0;1;
